Borough,Site Name,Site Address,Postcode,Type of Site,Grid ref easting,Grid ref northing,Open to Public,Opening times,Site Ref
Havering,Bower House and Bower Wood,"Orange Tree Hill, Havering Atte Bower",RM4 1PB,Private Garden;,551210,192800,Occasionally,"private; only open on special occasions, including London Open House",HVG004
Havering,Bretons Manor,"411 Rainham Road, Rainham, Essex",RM13 7LP,Garden Feature Remnants,514650,184766,Occasionally,has opened for London Open House. Otherwise private,HVG005
Havering,Capel Nelmes (Emerson Park Estate),"Sylvan Avenue, Emerson Park, Hornchuch",RM11,Private Garden;,554502,188591,No,private,HVG006
Havering,"Central Park, including Long Wood, Sage Wood, Painsbrook Adventure Playground and Open Space","Petersfield Avenue/Dagnam Park Drive/Gooshays Drive, Harold Hill",RM3,Public Park,544960,192163,Yes,closed dusk,HVG007
Havering,Clockhouse Gardens,"St Mary's Lane, Upminster",RM14,Public Gardens;,556380,186540,Yes,closed at dusk,HVG008
Havering,Collier Row Recreation Ground,"Collier Row Road/Eaton Drive/Downham Close, Collier Row",RM5,Public Park,549400,191150,Yes,unrestricted,HVG009
Havering,Coronation Gardens,"Main Road, Romford",RM1 3BH,Public Gardens,551501,189208,Yes,unrestricted,HVG010
Havering,Cottons Park,"London Road/Recreation Avenue/Pettley Gardens, Romford",RM7 7LN,Public Park,550640,188600,Yes,closed dusk,HVG011
Havering,Cranham Hall,"The Chase, Cranham, Upminster",RM14,Private Garden,557276,186120,No,private,HVG012
Havering,Cranham Marsh,"off Ockendon Road/Meadowside Road/Park Drive/Argyle Gardens/The Chase, Cranham",RM14,Public Open Land,557170,185400,Yes,unrestricted,HVG013
Havering,"Dagnam Park, including Hatters Wood","Dagnam Park Drive/Settle Road, Harold Hill",RM3,Public Park;,549260,193060,Yes,8am - dusk (unrestricted),HVG014
Havering,Duck Wood,"Sheffield Drive, Harold Wood",RM3,Public Open Land,555550,192330,Yes,unrestricted,HVG014a
Havering,Fairkytes,"51 Billet Lane, Hornchurch",RM11 1AX,Public Gardens,553830,187420,Yes,"Open to users of the art centre, 10am-10.30pm weekdays, daytime at weekends. Open for Open House",HVG015
Havering,"Gaynes Parkway, Hacton Parkway, Suttons Parkway","Upminster Road, Hacton Lane, Hornchurch",RM14,Public Open Land,555279,186405,Yes,unrestricted,HVG016
Havering,Hainault Forest Golf Course,"Romford Road, Chigwell, Essex",IG7 4QW,Public Park,548290,192790,Partially,Golf course land is accessible via public footpaths,HVG017
Havering,Hall Lane Mini Golf Course,"Hall Lane, Upminster",RM14 1AQ,Public Open Land,556450,187450,Yes,"Saturday/Sunday 10am-dusk, school holidays (Golf Hut closed 12.30-1pm)",HVG017a
Havering,Harold Hill Estate,"bounded by Noak Hill Road in north, Straight Road in west, Romford, Essex",RM3,Housing/Estate Landscaping,554130,191710,Yes,unrestricted to public roads and public open space,HVG018
Havering,Harold Wood Park,"Harold View/ Brinswood Road, Squirrels Heath Road/Recreation Avenue, Harold Wood",RM3 0TD,Public Park,555220,190050,Yes,closed at dusk,HVG019
Havering,Harrow Lodge Park,"Hornchurch Road/Rainham Road/Abbs Cross Lane, Hornchurch",RM12 4QU,Public Park,552620,186460,Yes,unrestricted,HVG020
Havering,Havering Country Park,"off Orange Tree Hill/Pinewood Road, Havering Atte Bower",RM4,Public Park,550450,192670,Yes,unrestricted (car park: daily 8am to half an hour after sunset),HVG021
Havering,Havering Village Green,"Orange Tree Hill/North Road, Havering Atte Bower",RM4 1QX,Public Open Land,551230,193070,Yes,unrestricted,HVG022
Havering,Havering Well Garden,"Roneo Corner, Hornchurch Road",RM12 4TW,Public Gardens,551740,187460,Yes,unrestricted,HVG023
Havering,Haynes Park,"Slewins Lane/Haynes Road/Northumberland Avenue, Hornchurch",RM11 2DG,Public Park,553500,188400,Yes,closed dusk,HVG024
Havering,Hornchurch Cemetery,"High Street, Hornchurch",RM12 6JH,Cemetery,554397,186794,Yes,daily April to October 9am - 7pm; November to March 9am - 4pm,HVG025
Havering,Hornchurch Country Park,"Airfield Way/Squadron's Approach, off South End Road, Hornchurch",RM12 and RM13,Public Open Land,553490,184470,Yes,unrestricted,HVG026
Havering,Hylands Park,"Hyland Way/Globe Road/Osborne Road, Hornchurch",RM11 1BS,Public Park,552559,188095,Yes,locked dusk,HVG027
Havering,Jutsums Park,Jutsums Lane,RM7 0ER,Public Park,549950,187840,Yes,closed dusk,HVG028
Havering,King George's Playing Field,"Mawney Road/Eastern Avenue, Romford",RM7,Public Park,550130,189570,Yes,closed at dusk,HVG029
Havering,"Langtons Gardens, including Fielders Sports Ground","Billet Lane, Hornchurch",RM11 1XJ,Public Gardens,553710,187490,Yes,8am - dusk,HVG030
Havering,Lawns Park,Mashiters Hill/Horndon Road/Playfield Avenue/The Drive,RM5 3TH,Public Park,550380,190900,Yes,7.30am - half hour after sunset,HVG031
Havering,Lodge Farm Park,"Main Road/Carlton Road, Romford",RM1 3SB,Public Park,551950,189190,Yes,closed at dusk,HVG032
Havering,Marshalls,"The Avenue off Park Drive/Havering Drive, Romford",RM1,Garden Feature Remnants,551080,189450,No,private,HVG033
Havering,Oakfields Montessori School,"Harwood Hall Lane, Upminster",RM14 2YG,Institutional Grounds,556000,184860,No,private. Views of house and grounds from public footpath south-east of the site,HVG033a
Havering,Park Lane Recreation Ground,"Park Lane, Maygreen Crescent, Hornchurch",RM11 1EJ,Public Gardens,552040,187670,Yes,,HVG034
Havering,Parklands Open Space,"Corbets Tey Road, Upminster",RM14,Public Park,555790,185030,Yes,unrestricted,HVG035
Havering,Pyrgo Park,Broxhill Road; North Road,RM4,Private Open Land,552310,193440,Partially,"only on public footpaths, otherwise private land",HVG036
Havering,Rainham (Federation) Jewish Cemetery,"416 Upminster Road North, Rainham",RM13 9SB,Cemetery,554234,182677,Yes,"Open Sunday - Friday. 9am - 5pm in summer or dusk (Mon-Thurs)/ - 4pm Sun)/ - 1pm (Fri). Closed Sats, Jewish holidays (please check website)",HVG039
Havering,Rainham Cemetery,"Upminster Road North, Rainham",RM13,Cemetery,553413,182672,Yes,daily April to October 9am - 7pm; November to March 9am - 4pm,HVG037
Havering,Rainham Hall,"The Broadway, Rainham",RM13 9YN,Private Garden,552140,182140,Yes,"April-Oct: Saturdays only, BH Mondays, 2-5pm",HVG038
Havering,Rainham Recreation Ground,"Upminster Road South, Rainham",RM13,Public Park,552280,182390,Yes,closed dusk,HVG040
Havering,Raphael Park,"Main Road, Romford",RM2 5AW,Public Park;,551820,189984,Yes,8am - locked at dusk,HVG041
Havering,Rise Park,Rise Park Boulevard off Beauly Way/Dee Way/Lower Bedfords Road,RM1,Public Park,551450,191140,Yes,closed at dusk,HVG042
Havering,Romford Cemetery,"Crow Lane/Dagenham Road,  Romford",RM7 0ED,Cemetery,550593,187672,Yes,daily April to October 9am - 7pm; November to March 9am - 4pm,HVG043
Havering,"Romford Garden Suburb - Reed Pond Walk Copse, Gidea Park Fishponds, Gidea Park Sports Ground","Reed Pond Walk/Parkway/Heath Drive, Romford",RM2 5PJ,Housing/Estate Landscaping;,552290,190010,Partially,"apart from public open space, the land is in private ownership, but visible from public roadways",HVG044
Havering,Romford Golf Course,"Heath Drive/Eastern Avenue, Romford",RM2 5QB,Private Open Land,552483,190348,Partially,"Golf Club members only, but public footpath runs across golf course",HVG045
Havering,South Essex Crematorium and Memorial Gardens,"Ockendon Road, Corbets Tey, Upminster",RM14 2UY,Cemetery,556640,185310,Yes,daily 9am - 4pm (November - March); 9am - 7pm (April - October),HVG059
Havering,Spring Farm Park,"MacLennan Avenue, Lambs Lane, Rainham",RM13,Public Park,553810,182380,Yes,closed at dusk,HVG060
Havering,St Andrew's Churchyard and The Dell,"High Street, Hornchurch",RM12 6QP,Churchyard,554410,186870,Yes,churchyard unrestricted. Church open Mon-Fri 10am-12.30pm/1.30pm-4pm and May Bank Holiday (tower open),HVG048
Havering,St Andrew's Park,"Burnway/Belleview Road/Maywin Drive, Hornchurch",RM11 3RR,Public Park,554610,187290,Yes,closed dusk,HVG049
Havering,St Edward the Confessor Church Gardens,Market Place,RM1 3AB,Public Gardens,551180,188960,Yes,unrestricted,HVG050
Havering,St Francis Hospice,"Broxhill Road, Havering-Atte-Bower",RM4 1QH,Institutional Grounds,551320,193100,No,private - to check if any open days,HVG051
Havering,St Helen and St Giles Churchyard,"The Broadway, Rainham",RM13 9YW,Churchyard,552100,182190,Yes,unrestricted,HVG052
Havering,St John the Evangelist Churchyard,"The Green, Havering-Atte-Bower",RM4 1PL,Churchyard,551180,193070,Yes,unrestricted,HVG053
Havering,St Laurence's Churchyard,"St Mary's Lane, Corbets Tey Road, Upminster",RM14 2BB,Churchyard,555920,186480,Yes,unrestricted,HVG054
Havering,St Leonard's Cottage Homes,"St Leonard's Way, Landseer Close, Wallis Close, The Mall, Hornchurch",RM11 1FN,Housing/Estate Landscaping,552870,187150,Yes,public open space is accessible,HVG054a
Havering,St Mary and St Peter's Churchyard,"Wennington Road/Church Lane, Wennington",RM13,Churchyard,553980,180940,Yes,unrestricted,HVG055
Havering,St Mary Magdalene's Churchyard,"Church Lane, North Ockendon, Essex",RM14 3QH,Churchyard,558740,184860,Yes,unrestricted,HVG056
Havering,"St Michael and All Angels, Gidea Park","Main Road, Gidea Park",RM2 5EA,Churchyard,552620,189910,Yes,unrestricted,HVG057
Havering,"St Thomas's Churchyard, Noak Hill","Church Road, Noak Hill",RM4 1LD,Churchyard,554110,194000,Yes,unrestricted,HVG058
Havering,Stubbers Adventure Centre (including Walled Garden),Ockendon Road/North Ockendon Road,RM14 2TY,Garden Feature Remnants,557350,184450,Yes,Daily 9am - 5pm. Ask at reception to visit Walled Garden,HVG061
Havering,The Round House,"Broxhill Road, Havering Atte Bower",RM4 1QH,Private Garden,551500,193130,Occasionally,Has opened for London Open House. Otherwise private,HVG046
Havering,The Royal Liberty School,"Upper Brentwood Road, Gidea Park, Romford",RM2 6HJ,Institutional Grounds,553130,189780,Occasionally,Has opened for London Open House,HVG047
Havering,Tylers Common,"Nags Head Lane, Warley Road",RM14,Public Open Land,556742,190557,Yes,unrestricted,HVG062
Havering,Upminster Cemetery,"Ockendon Road, Corbets Tey, Upminster",RM14 2UY,Cemetery,556765,185290,Yes,daily April to October 9am - 7pm; November to March 9am - 4pm,HVG063
Havering,Upminster Court Gardens *,"Hall Lane, Upminster",RM14 1AL,Private Garden,556360,187950,No,2010: restoration in process,HVG064
Havering,Upminster Golf Course,"Hall Lane, Upminster",RM14 1AU,Private Open Land,556080,187540,By appointment only,Golf Club open to members (contact club for information: 01708 222788),HVG065
Havering,"Upminster Hall Playing Field, including Tithe Barn","Hall Lane, Upminster",RM14,Public Park,556760,187860,Yes,unrestricted,HVG065a
Havering,Upminster Park,"Corbets Tey Road/St Mary's Lane, Upminster",RM14 2AX,Public Park,555791,186401,Yes,unrestricted,HVG066
Havering,Wennington Village Green,"Wennington Road/The Green,  Wennington",RM13,Public Open Land,554090,180920,Yes,unrestricted,HVG067
Havering,"Windmill Field, including Upminster Windmill","St Mary's Lane, Upminster",RM14 2QL,Public Open Land,555700,186690,Yes,unrestricted to Field. Windmill open certain weekends Apr - Oct 2-5pm (check with Friends of Upminster Windmill),HVG068
Hillingdon,American Community School,"Vine Lane, Hillingdon",UB10 0BH,Institutional Grounds,506887,183803,No,private,HIL001
Hillingdon,Barra Hall Park,"Church Walk/Freemans Lane/Botwell Lane/Woodend Green Road, Hayes",UB3 2NH,Public Park,509481,181048,Yes,unrestricted,HIL002
Hillingdon,"Bessingby Park and Pine Gardens, and Cavendish Recreation Ground","Bessingby Road/Springfield Gardens/Field End Road, Ruislip Manor",HA4,Public Park,511060,186870,Yes,unrestricted,HIL003
Hillingdon,Breakspear Crematorium,"Breakspear Road, Ruislip, Middlesex",HA4 7SJ,Cemetery,508194,188878,Yes,9am - 5pm October - March. 9am - 6.30pm April - September. Sunday/Bank Holiday opens at 10am. Xmas Day 10am-2pm,HIL004
Hillingdon,Breakspears,"Breakspear Road North, Harefield",UB9,Housing/Estate Landscaping,506041,189532,No,private,HIL005
Hillingdon,Brunel University Campus,"Cleveland Road/Kingston Lane, Uxbridge",UB8 3PH,Institutional Grounds,506024,182653,Yes,unrestricted,HIL006
Hillingdon,Cherry Lane Cemetery,"Shepiston Lane, Harlington, Middlesex",UB3 1LL,Cemetery,507952,178832,Yes,9am - 4pm (November-February); - 5pm (March/October); - 6pm (April); - 7pm (September); - 8pm (May - August). Sun/Good Fri/BH/Xmas Day opens 10am,HIL007
Hillingdon,Church Gardens Nursery *,"off Church Hill/Harvil Road, Harefield",UB9,Garden Feature Remnants,505440,189510,No,private,HIL008
Hillingdon,Churchfield Gardens,"off Eastcote Road, Ruislip",HA4 8BE,Public Park,509260,187550,Yes,7.30am - dusk,HIL009
Hillingdon,Connaught Recreation Ground,"Uxbridge Road, Hillingdon",UB10 0NW,Public Park,508030,182050,Yes,7.30am - dusk,HIL010
Hillingdon,Cowley Recreation Ground,"High Street, Cowley",UB8 2DZ,Public Park,505283,181992,Yes,unrestricted,HIL011
Hillingdon,Cranford Countryside Park,"The Parkway, Cranford Lane/Park Lane (via Roseville Road under M4), Cranford",TW5 9RZ,Public Park;,509992,177893,Yes,"unrestricted/7.30am - 9pm (summer)/dusk (spring, autumn, winter)",HIL012
Hillingdon,Denham Court and Denham Country Park,"Denham Court Road, Denham",UB9,Public Open Land,505078,186804,Yes,unrestricted to Denham Lock Wood,HIL013
Hillingdon,Denville Hall,"Ducks Hill Road, Northwood",HA6,Private Open Land,507877,191377,No,private,HIL014
Hillingdon,Drayton Hall Park,"Church Road/Station Road, Drayton Green",UB7 7PS,Public Park,506380,179390,Yes,unrestricted,HIL015
Hillingdon,Eastcote House Gardens,"Eastcote High Road/Field End Road, Eastcote Village",HA5 2EQ,Public Park,510710,188730,Yes,unrestricted,HIL016
Hillingdon,Eastcote War Memorial Garden,"Field End Road, Eastcote",HA5 1TD,Public Gardens,510953,188146,Yes,unrestricted,HIL016a
Hillingdon,Fassnidge Park,"Rockingham Parade/Oxford Road, Uxbridge",UB8 2UW,Public Park,505154,184223,Yes,unrestricted,HIL017
Hillingdon,Friends Meeting House Garden,"Belmont Road/York Road, Uxbridge",UB8 1QW,Cemetery,505660,184320,Yes,"but not during the day Mon-Fri only after 6pm. Evening until dusk & at the weekend, with due respect for activities taking place in the Meeting House",HIL018
Hillingdon,Harefield Grove,"Rickmansworth Road, Harefield",UB9 6JY,Private Open Land,505690,191560,No,private,HIL019
Hillingdon,Harefield Hospital,"Harefield Hospital, Hill End Road, Harefield",UB9 6JH,Institutional Grounds,504930,191000,Yes,publicly accessible hospital grounds,HIL020
Hillingdon,Harefield House,"High Street, Harefield",UB9,Private Garden,505230,190380,No,private,HIL021
Hillingdon,Harefield Place,"The Drive, Ickenham",UB10 8AQ,Garden Feature Remnants,506160,186370,No,private/not publicly accessible,HIL022
Hillingdon,Harefield Village Green,"Breakspear Road/Rickmansworth Road/Northwood Road, Harefield",UB9 6EG,Public Open Land,505320,190610,Yes,unrestricted,HIL023
Hillingdon,Haydon Hall Park,"Eastcote High Road/Joel Street/Southill Lane, Eastcote Village",HA5 2EG,Public Park,510508,188973,Yes,unrestricted,HIL024
Hillingdon,Hayes Park,"Park Lane, Hayes",UB4 8AL,Private Garden,508993,182360,No,private,HIL025
Hillingdon,Hillingdon and Uxbridge Cemeteries,"Hillingdon Hill/Kingston Lane, Hillingdon",UB10 0JF,Cemetery,506530,182771,Yes,9am - 4pm (November-February); - 5pm (March/October); - 6pm (April); - 7pm (September); - 8pm (May - August). Sun/Good Fri/BH/Xmas Day opens 10am,HIL026
Hillingdon,Hillingdon Court Park,"Court Drive/Parkway, Hillingdon",UB10 0BL,Public Park,507181,183962,Yes,unrestricted,HIL027
Hillingdon,Hillingdon House,"Hillingdon Road, Hillingdon",UB10,Private Open Land,506434,183668,No,private,HIL028
Hillingdon,"Holy Trinity Churchyard, Northwood","Rickmansworth Road, Northwood",HA6 2RP,Churchyard,508260,191780,Yes,unrestricted,HIL029
Hillingdon,Ickenham Hall,"Glebe Avenue, Ickenham",UB10 8PD,Public Gardens,508233,186007,Yes,unrestricted,HIL030
Hillingdon,Manor Farm Site,"Bury Street/St Martin's Approach, Ruislip",HA4 7QL,Public Gardens,509070,187820,Yes,unrestricted to grounds. Manor Farm: 9am-5pm Mon-Fri,HIL031
Hillingdon,Northwood Cemetery,"Chestnut Avenue, Northwood, Middlesex",HA6,Cemetery,509704,190260,Yes,9am - 4pm (November-February); - 5pm (March/October); - 6pm (April); - 7pm (September); - 8pm (May - August). Sun/Good Fri/BH/Xmas Day opens 10am,HIL033
Hillingdon,Old Park Wood,"Summerhouse Lane/Hill End Road via footpaths; Belfry Avenue off Park Lane, Mount Pleasant",UB9,Public Open Land,504620,191360,Yes,unrestricted,HIL035
Hillingdon,Pinkwell Park,Pinkwell Lane/Carnarvon Drive/Waltham Avenue,UB3 1TF,Public Park,508370,179010,Yes,unrestricted,HIL036
Hillingdon,Pretty Corner,"Fore Street/High Road, Eastcote",HA5,Public Gardens,510290,188400,Yes,unrestricted,HIL037
Hillingdon,Pynchester Moat,"Swakeleys Road, access from Copthall Road East/West through woods, Ickenham",UB10,Garden Feature Remnants,507242,186797,Yes,unrestricted,HIL038
Hillingdon,Roxbourne Park,Field End Road,HA4,Public Park,511932,186785,Yes,unrestricted,HIL039
Hillingdon,Ruislip Lido,"access: Reservoir Road/Bury Street, Ruislip",HA4 7TU,Public Park,508850,189480,Yes,unrestricted. For Ruislip Lido Railway timetable see www.ruisliplidorailway.org,HIL040
Hillingdon,Ruislip Woods and National Nature Reserve,"access: Ducks Hill Road/Bury Street/Wiltshire Road, Ruislip","HA4, HA6, UB9",Public Park,508630,189500,Yes,unrestricted,HIL041
Hillingdon,Southlands Arts Centre Grounds,"off The Green, West Drayton",UB7 7PN,Public Gardens,505840,179130,Yes,unrestricted,HIL053
Hillingdon,"St Dunstan's Churchyard, Cranford","Cranford Park (via Roseville Road under M4), Cranford",UB3,Churchyard,510170,178170,Yes,unrestricted,HIL042
Hillingdon,St Giles Churchyard,"High Road/Long Lane/Swakeleys Road, Ickenham",UB10 8BG,Churchyard,507960,186270,Yes,unrestricted,HIL043
Hillingdon,"St John the Baptist Churchyard, Hillingdon","Uxbridge Road/Hillingdon Hill/Royal Lane, Hillingdon",UB10 0JE,Churchyard,506920,182890,Yes,unrestricted,HIL044
Hillingdon,St John's School,"Potter Street Hill, Northwood",HA6 3QY,Institutional Grounds,510484,191547,No,private,HIL045
Hillingdon,"St Laurence Churchyard, Cowley","Church Road, Cowley",UB8 3NB,Churchyard,506010,182030,Yes,unrestricted (key for Church may be obtained from Rectory),HIL046
Hillingdon,"St Martin's Churchyard, Ruislip","High Street, Ruislip",HA4 8DG,Churchyard,509170,187540,Yes,unrestricted. Church open daily 8.30am-4pm,HIL047
Hillingdon,"St Martin's Churchyard, West Drayton","Church Road, West Drayton",UB7 7PT,Churchyard,506150,179450,Yes,gates may be locked,HIL048
Hillingdon,"St Mary's Churchyard, Harmondsworth Burial Ground and Harmondsworth Village Green","High Street, Harmondsworth Village, Middlesex",UB7 0AQ,Churchyard,505750,177820,Yes,unrestricted,HIL049
Hillingdon,"St Mary's Churchyard, Hayes","Church Walk, Hayes",UB3 2LR,Churchyard,509730,181060,Yes,unrestricted,HIL050
Hillingdon,"St Mary-the-Virgin's Churchyard, Harefield","Church Hill, Harefield",UB9 6DU,Churchyard,505370,189550,Yes,unrestricted,HIL051
Hillingdon,"St Peter and St Paul's Churchyard, and Harlington Burial Ground","St Peter's Way, Harlington",UB3 5LY,Churchyard,508740,178220,Yes,unrestricted,HIL052
Hillingdon,Stockley Park *,"Stockley Road, Bennetsfield Road/ Horton Road / Iron Bridge Road, Uxbridge",UB11 1AA,Public Park,507520,180443,Yes,unrestricted to country park,HIL053a
Hillingdon,Swakeleys Lake,"The Avenue/Swakeleys Drive, Ickenham",UB10,Public Park,507320,185780,Yes,unrestricted,HIL054
Hillingdon,The Grove Nature Reserve,"Robinhood Grove, off Royal Lane/Green Lane",UB8,Public Open Land,506800,182345,Yes,unrestricted,HIL055
Hillingdon,The Norman Leddy Memorial Gardens,"Wood End Road, Hayes",UB3 2UF,Public Gardens,509600,181340,Yes,10am - 4pm,HIL032
Hillingdon,The Old Burial Ground,"Windsor Street, Uxbridge",UB8,Public Gardens,505430,183930,Yes,unrestricted,HIL034
Hillingdon,Uxbridge Golf Course,"The Drive, Uxbridge",UB10 8AQ,Garden Feature Remnants,506018,186296,Partially,public footpaths across golf course,HIL056
Hillingdon,Victoria Lane Burial Ground,"Victoria Lane, Harlington, Middlesex",UB3,Cemetery,508511,178043,Yes,9am - 4pm (November-February); - 5pm (March/October); - 6pm (April); - 7pm (September); - 8pm (May - August). Sun/Good Fri/BH/Xmas Day opens 10am,HIL057
Hillingdon,Warrender Park and High Grove Nature Reserve,"Myrtle Avenue/Lime Grove, Eastcote",HA4 8RL,Public Park,510510,187920,Yes,unrestricted,HIL058
Hillingdon,West Drayton Cemetery,"Harmondsworth Road, West Drayton",UB7 9JS,Cemetery,506348,178979,Yes,9am - 4pm (November-February); - 5pm (March/October); - 6pm (April); - 7pm (September); - 8pm (May - August). Sun/Good Fri/BH/Xmas Day opens 10am,HIL059
Hillingdon,West Drayton Green,"The Green, West Drayton",UB7 9FN,Public Open Land,505840,179380,Yes,unrestricted,HIL060
Hounslow,"All Saints Churchyard, Isleworth","Church Street, Isleworth",TW7 6BE,Churchyard,516780,176110,Yes,unrestricted,HOU001
Hounslow,Avenue Park,"High Street, Cranford",TW5,Public Park,510266,177556,Yes,8am - dusk,HOU002
Hounslow,Beaversfield Park,"Ivanhoe Road/Ravensdale Road/Rosemary Avenue, Hounslow West",TW4,Public Park,512000,175890,Yes,8am - dusk,HOU003
Hounslow,Bedfont Cemetery and St Mary's Burial Ground extension,"Bedfont Road, Feltham",TW14 8BF,Cemetery,508372,173018,Yes,9am - 4pm (Nov-Feb); - 5.30pm (Mar/Oct);  - 7pm (Apr/May/Aug/Sept); - 8pm (Jun/July). Xmas Day 9am-2pm,HOU004
Hounslow,Bedfont Green,"Staines Road, East Bedfont",TW14,Public Open Land,508540,173560,Yes,unrestricted,HOU005
Hounslow,Bedfont Lakes Country Park,"Bedfont Road, Clockhouse Lane",TW14 8QA,Public Open Land,507654,172496,Yes,8am - dusk (closed Xmas Day),HOU006
Hounslow,Bedfont Recreation Ground,"Hatton Road, Bedfont",TW14 9QS,Public Park,509400,174590,Yes,8am - dusk,HOU007
Hounslow,Bedford Park Estate,"Area between Woodstock Road, Fielding Road, Marlborough Crescent, Esmond Road and South Parade",W4,Housing/Estate Landscaping,521250,179070,Yes,public streets accessible,HOU008
Hounslow,Blenheim Park,Ruskin Avenue/Bedfont Lane,TW14,Public Park,510168,173866,Yes,8am - dusk,HOU009
Hounslow,Boston Manor Park,"Boston Manor Road/Boston Gardens, Brentford",TW8 9JX,Public Park,516846,178147,Yes,8am - dusk. House open April - October Sat/Sun/Bank Holidays 12 - 5pm,HOU010
Hounslow,Brent Lea Recreation Ground,London Road,TW8,Public Park,517130,177060,Yes,8am - dusk,HOU011
Hounslow,Bridge House Pond,"Hanworth Road/High Street, Feltham",TW13 4AH,Public Gardens,510734,173289,Yes,unrestricted,HOU011a
Hounslow,Carville Hall Park North,"Lionel Road, Clayponds Lane/Clayponds Avenue",W5,Public Park,518288,178398,Yes,8am - dusk,HOU012
Hounslow,Carville Hall Park South,"Lionel Road, Clayponds Lane/Clayponds Avenue",W5,Public Park,518360,178342,Yes,8am - dusk,HOU013
Hounslow,Chiswick Back Common,Chiswick Common Road,W4 1RZ,Public Open Land,521039,178688,Yes,unrestricted,HOU014
Hounslow,Chiswick House and Chiswick House Grounds *,"Burlington Lane/Hogarth Lane, Chiswick",W4 2QN,Public Park,520880,177620,Yes,Grounds: 8am - half hour before dusk. House April - Sept 10am-6pm; Oct 10am-5pm; Nov-Mar Wed-Sat 10am-4pm.,HOU015
Hounslow,Chiswick New Cemetery,"Staveley Road/Great Chertsey Road, Chiswick",W4 2SJ,Cemetery,520775,177031,Yes,9am - 4pm (Nov-Feb); - 5.30pm (Mar/Oct);  - 7pm (Apr/May/Aug/Sept); - 8pm (Jun/July). Xmas Day 9am-2pm,HOU016
Hounslow,Chiswick Square,Chiswick Square/Burlington Lane,W4,Square,521440,177810,No,visible,HOU017
Hounslow,Crane Valley Park,"Hanworth Road, Twickenham",TW2,Public Park,513211,173048,Yes,8am - dusk,HOU018
Hounslow,Donkey Wood,Staines Road (Baber Bridge)/River Gardens,TW4,Public Open Land,511020,174900,Yes,unrestricted,HOU019
Hounslow,Dukes Meadow Recreation Ground and Promenade North,"Great Chertsey Road/Riverside Drive, Chiswick",W4 2SH,Public Park,521320,176790,Yes,8am - dusk,HOU020
Hounslow,Fairholme Estate,"Staines Road, East Bedfont",TW14,Housing/Estate Landscaping,509000,173690,No,private - visible from Staines Road,HOU021
Hounslow,Farnell's Almshouses,"St John's Road, Isleworth",TW7 6PA,Private Garden,515642,176100,No,Private for residents only,HOU021a
Hounslow,Feltham Cemetery,"Sunbury Road/Ashford Road, Feltham",TW13,Cemetery,509773,172072,Yes,9am - 4pm (Nov-Feb); - 5.30pm (Mar/Oct);  - 7pm (Apr/May/Aug/Sept); - 8pm (Jun/July). Xmas Day 9am-2pm,HOU022
Hounslow,Feltham Green,"High Street, Feltham",TW13 4AF,Public Open Land,510580,172920,Yes,unrestricted,HOU023
Hounslow,Feltham Park,Hounslow Road/Harlington Road West,TW14,Public Park,510730,173740,Yes,8am - dusk,HOU024
Hounslow,Friends Meeting House Burial Ground,"Quakers Lane off London Road, Isleworth",TW7,Cemetery,516380,176850,Occasionally,access when Meeting House is open,HOU025
Hounslow,Gunnersbury Cemetery,Gunnersbury Avenue,W3 8LE,Cemetery,519135,178692,Yes,9am - 4.30pm (Jan-Dec); -5.30pm (Feb/Mar/Oct); - 7pm (April/May/Sept); -8pm (June-Aug). Sundays - 7pm (June-Aug)/-6pm (April/May/Sept). Xmas -4.30pm,HOU026
Hounslow,Gunnersbury Park *,Gunnersbury Avenue/Pope's Lane/Lionel Road,W3 8LQ,Public Park,518760,178870,Yes,"Grounds: 8am - dusk. Museum: Apr - Oct: Mon - Fri 1pm - 5pm; Sat, Sun and Bank Holidays 1pm - 6pm 
Nov - Mar: Mon - Sun 1pm - 4pm",HOU027
Hounslow,Hanworth Park,Hounslow Road/Park Road/Elmwood Avenue/Castle Way,TW13,Public Park,511497,172160,Yes,8am - dusk,HOU028
Hounslow,Heston Park,New Heston Road,TW5,Public Park,512700,177660,Yes,8am - dusk,HOU029
Hounslow,Hogarth's House Garden,"Hogarth Lane, Great West Road, Chiswick",W4 2QN,Private Garden,521220,177880,Yes,"Tues-Sun 12 noon - 5pm. Closed Mondays except Bank Holidays. Closed Christmas Day, Boxing Day, Good Friday and Easter Sunday.",HOU030
Hounslow,Hounslow Heath,450 Staines Road,TW4 5AB,Public Open Land,512370,174380,Yes,unrestricted. Car park open 7.30am - dusk,HOU031
Hounslow,Inwood Park,"Inwood Road/Inwood Avenue/Livingstone Road/Stanley Road, Hounslow",TW3,Public Park,514344,175587,Yes,8am - dusk,HOU032
Hounslow,Isleworth Cemetery,"Park Road, Isleworth",TW7,Cemetery,516520,176488,Yes,9am - 4pm (Nov-Feb); - 5.30pm (Mar/Oct);  - 7pm (Apr/May/Aug/Sept); - 8pm (Jun/July). Xmas Day 9am-2pm,HOU033
Hounslow,Jersey Gardens,"St Mary's Crescent/Ridgeway Road North/Great West Road, Osterley",TW7,Public Gardens,515140,177290,Yes,8am - dusk,HOU034
Hounslow,Lampton Park,"Lampton Road/Harte Road/Bulstrode Avenue, Hounslow",TW3,Public Park,513203,176288,Yes,8am - dusk,HOU035
